CIDADE,ESTADO,QUANTIDADE_DE_INDICACOES,LAT,LON
CASIMIRO DE ABREU,RIO DE JANEIRO      ,1,-22.4756154,-42.1522235
CASSIA,MINAS GERAIS        ,2,-20.5837538,-46.9219923
CASSIA DOS COQUEIROS,SAO PAULO           ,2,-21.280082,-47.164327
CASTELO,ESPIRITO SANTO      ,9,-20.6022098,-41.2032124
CASTILHO,SAO PAULO           ,4,-20.8695636,-51.4877792
CASTRO,PARANA,6,-24.794072,-49.9972914
CATAGUASES,MINAS GERAIS        ,11,-21.387426,-42.6957219
CATALAO,GOIAS               ,6,-18.1702546,-47.9447082
CATANDUVA,SAO PAULO           ,3,-21.1331035,-48.9712817
CATANDUVAS,SANTA CATARINA,3,-27.0689719,-51.660158
CATURAI,GOIAS               ,1,-16.4473559,-49.4919149
CAUCAIA,CEARA               ,7,-3.7300563,-38.6593082
CAXAMBU,MINAS GERAIS        ,4,-21.9755872,-44.9311403
CAXIAS,MARANHAO            ,2,-4.8654201,-43.353664
CAXIAS DO SUL,RIO GRANDE DO SUL,7,-29.1685045,-51.1796385
CEDRAL,SAO PAULO           ,1,-20.9028433,-49.2699665
CEDRO,CEARA               ,1,-6.6065382,-39.0599487
CELSO RAMOS,SANTA CATARINA,1,-27.6335797,-51.3368111
CERES,GOIAS               ,1,-15.3103568,-49.6032054
CERQUEIRA CESAR,SAO PAULO           ,2,-23.0353135,-49.1650519
CERQUILHO,SAO PAULO           ,7,-23.1626556,-47.7433878
CERRO AZUL,PARANA,3,-24.8245108,-49.2615181
CHA GRANDE,PERNAMBUCO          ,1,-8.238271,-35.457148
CHAPADA DOS GUIMARAES,MATO GROSSO         ,1,-15.464343,-55.749857
CHAPECO,SANTA CATARINA,10,-27.0922364,-52.6166878
CHARQUEADA,SAO PAULO           ,70,-22.50958,-47.775468
CHAVANTES,SAO PAULO           ,2,-23.0406405,-49.7071698
CHOPINZINHO,PARANA,1,-25.8566167,-52.5294107
CIANORTE,PARANA,2,-23.662036,-52.6103989
CICERO DANTAS,BAHIA               ,1,-10.5942278,-38.3839063
CIDADE GAUCHA,PARANA,1,-23.3816558,-52.9444098
CIDADE OCIDENTAL,GOIAS               ,3,-16.1000758,-47.9445014
CIDELANDIA,MARANHAO            ,4,-5.174655,-47.7833531
CIDREIRA,RIO GRANDE DO SUL,1,-30.1657063,-50.218331
CIPOTANEA,MINAS GERAIS        ,3,-20.905278,-43.365556
CLARAVAL,MINAS GERAIS        ,1,-20.4019611,-47.2851534
CLAUDIO,MINAS GERAIS        ,5,-20.4448485,-44.7655217
CLEVELANDIA,PARANA,2,-26.404065,-52.3513972
COARACI,BAHIA               ,1,-14.6407979,-39.5496765
COARI,AMAZONAS            ,1,-4.0885957,-63.1431166
COCAL DO SUL,SANTA CATARINA,1,-28.6007346,-49.3248697
COCOS,BAHIA               ,3,-14.1811222,-44.5382117
CODO,MARANHAO            ,3,-4.455623,-43.892354
COLATINA,ESPIRITO SANTO      ,10,-19.5346732,-40.6287836
COLOMBIA,SAO PAULO           ,1,-20.1774291,-48.6872822
COLOMBO,PARANA,27,-25.2925439,-49.2243472
COLORADO,PARANA,9,-22.8385097,-51.9730135
CONCEICAO DA APARECIDA,MINAS GERAIS        ,2,-21.094166,-46.204444
CONCEICAO DA BARRA,ESPIRITO SANTO      ,2,-18.5841421,-39.7371844
